Brand,Name,Anchal,Type,Condition,Used For,Lot No,Price,Mileage,Engine,Make Year,Kilometers
enfield,classic,Bagmati,Cruiser,Excellent,3 year,68,370000,28,350,2015,17700
bajaj,pulsar,Bagmati,Standard,Excellent,7Yrs,41,100000,35,180,2011,50000
yamaha,fz,Lumbini,Standard,Like New (used few times),10 month,38,345000,35,250,2018,10000
UnKnown,UnKnown,Bagmati,Sports,Excellent,,38,77000,38,150,2010,
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,8 Months,87,430000,,250,,11300
bajaj,avenger,Bagmati,Standard,Good/Fair,2069/5/3,52,145000,25,220,2012,30000
honda,unicorn,Bagmati,Standard,Good/Fair,4 yrs,50,95000,43,150,2010,43204
yamaha,fz,Bagmati,Sports,Good/Fair,4 yrs,54,110000,35,150,2011,42000
aprilla,UnKnown,Bagmati,Dirt,Like New (used few times),,67,175000,50,150,,16000
hero,UnKnown,Bagmati,Scooty,Excellent,2years,71,85000,45,110,2015,9000
UnKnown,UnKnown,Bagmati,Sports,Excellent,2 years,73,350000,27,200,2016,
yamaha,fz,Bagmati,Standard,Excellent,2 Years,58,115000,40,153,2014,17000
UnKnown,UnKnown,Bagmati,Scooty,Excellent,6 month,92,130000,,110,,2300
honda,aviator,Bagmati,Scooty,Excellent,3 month,41,68000,35,110,2010,25000
UnKnown,UnKnown,Bagmati,Standard,Excellent,,36,77000,45,150,,32577
bajaj,pulsar,Bagmati,Standard,Good/Fair,4 year,57,120000,40,150,2013,23000
UnKnown,UnKnown,Bagmati,Sports,Good/Fair,3 year,66,333000,25,390,2015,25000
hero,xtreme,Bagmati,Standard,Excellent,4 year,59,124000,45,150,2013,22000
benelli,UnKnown,Bagmati,Standard,Excellent,2 year,80,488000,25,300,2016,9600
UnKnown,UnKnown,Bagmati,Cruiser,Excellent,8year,33,45000,35,125,2009,3500
suzuki,UnKnown,Bagmati,Standard,Excellent,18 month,82,192000,45,150,2017,21000
yamaha,fz,Bagmati,Sports,Like New (used few times),,90,299000,40,250,2017,5000
yamaha,ray,Bagmati,Cruiser,Good/Fair,,88,139000,35,110,2017,5000
yamaha,fz,Bagmati,Standard,Like New (used few times),3 months,95,235000,48,149,2018,4000
yamaha,fz,Bagmati,Standard,Excellent,,32,68000,40,153,2009,
UnKnown,UnKnown,Bagmati,Standard,Excellent,4 years,54,130000,30,220,,36000
enfield,UnKnown,Bagmati,Standard,Excellent,,48,270000,30,350,2011,18500
yamaha,r15,Bagmati,Sports,Like New (used few times),Less then 2yrs,79,260000,42,150,2016,17000
tvs,jupiter,Bagmati,Scooty,Excellent,2 years ,68,100000,45,110,2016,21900
UnKnown,UnKnown,Bagmati,Standard,Excellent,,82,425000,45,1500000,2017,18000
bajaj,avenger,Bagmati,Cruiser,Like New (used few times),6month,94,230000,40,150,2017,2700
UnKnown,UnKnown,Bagmati,Standard,Like New (used few times),8/9 month,89,255000,,220,2016,6685
UnKnown,UnKnown,Bagmati,Standard,Excellent,1 year,88,255000,38,220,2017,9000
